Title,avgRating,sentiment_rating_category,review/summary,sentiment_category,Genre,Author,Rating_Ordinal,Genre_Encoded,sentiment_categoty_encoded
Yoga Therapy for Overcoming Insomnia,4.571428571428571,Must Read,yoga,Average,Unknown,"Peter Van Houten, Rich McCord",5.0,0,2
"Rise to Globalism: American Foreign Policy, 1938-1976",3.973684210526316,Very Good,Behind the scenes and comprehensive,Good,Political Science,Stephen E. Ambrose,4.0,16,3
I know this much is true,4.5,Must Read,A True Labor of Love,Must Read,Fiction,Wally Lamb,5.0,1,5
One Child,4.78974358974359,Must Read,Still wonderful after all these years!!!,Very Good,Abandoned children,Torey L. Hayden,5.0,409,4
Daughter of Fortune,3.6399026763990268,Very Good,beautiful literary piece on love and learning,Must Read,Unknown,Unknown,4.0,0,5
"Two Guys Four Corners: Great Photographs, Great Times, and a Million Laughs",3.473684210526316,Very Good,Pro-Am,Average,Travel,"Don Imus, Fred Imus",4.0,23,2
Speed Reading for Professionals (Barron's Business Success Guides),4.166666666666667,Must Read,A GREAT BOOK!,Very Good,Unknown,Unknown,5.0,0,4
Three Men in a Boat,4.337209302325581,Must Read,A masterpiece!,Very Good,Fiction,Jerome K. Jerome,5.0,1,4
Slave Girl,4.2,Must Read,thought provoking,Average,Slaves,Harriet Ann Jacobs,5.0,891,2
"Liberal Fascism: The Secret History of the American Left, From Mussolini to the Politics of Meaning",4.050793650793651,Must Read,"The French Revolution begat the Jocobins who begat Mussolini, Lenin, Hitler, FDR, Mao, the Democrats, Bush, Hillary and Bosama.",Average,History,Jonah Goldberg,5.0,8,2
A Day No Pigs Would Die,3.5916398713826365,Very Good,great book,Very Good,Young Adult Fiction,Robert Newton Peck,4.0,35,4
Chocolate Passion: Recipes and Inspiration from the Kitchens of Chocolatier Magazine,4.230769230769231,Must Read,Mmmmmmmmmmm,Average,Cooking,"Tish Boyle, Timothy Moriarty",5.0,15,2
"The road to serfdom,",4.566820276497696,Must Read,Absolute Power Corrupts Absolutely!,Average,Business & Economics,Friedrich August Hayek,5.0,7,2
Enchantress From The Stars,4.7272727272727275,Must Read,Skillful science-fiction,Average,Juvenile Fiction,Sylvia Engdahl,5.0,9,2
One Day at Horrorland (Goosebumps Series),4.606060606060606,Must Read,Unbelievable Dude!,Good,Unknown,Unknown,5.0,0,3
Little Men,4.337078651685394,Must Read,Good,Good,Fiction,Louisa May Alcott,5.0,1,3
Black Boy CD,4.342995169082125,Must Read,A wonderful read...,Very Good,Biography & Autobiography,Richard Wright,5.0,14,4
The Andromeda Strain,4.1352657004830915,Must Read,"I want my time back, this book sucked!",Average,Fiction,Michael Crichton,5.0,1,2
The double helix: A personal account of the discovery of the structure of DNA,3.8926174496644297,Very Good,A gift for both of us,Good,Science,James D. Watson,4.0,74,3
"Mountains of Spices.,",4.653846153846154,Must Read,Excellent book.,Very Good,Fiction,Hannah Hurnard,5.0,1,4
